Date,Product,Category,Quantity,Sales,Region
2026-01-05,Laptop,Electronics,3,180000,Nashik
2026-01-08,Mouse,Accessories,12,24000,Pune
2026-01-12,Keyboard,Accessories,8,32000,Mumbai
2026-01-15,Monitor,Electronics,5,125000,Nashik
2026-01-19,Laptop,Electronics,2,120000,Pune
2026-01-22,Headphones,Accessories,10,45000,Mumbai
2026-01-26,Mouse,Accessories,15,30000,Nashik
2026-01-29,Keyboard,Accessories,7,28000,Pune
2026-02-02,Monitor,Electronics,4,100000,Mumbai
2026-02-05,Laptop,Electronics,6,360000,Nashik
2026-02-09,Headphones,Accessories,9,40500,Pune
2026-02-12,Mouse,Accessories,18,36000,Mumbai
